film,review,stars,label
A Star is Born,"If you're even a casual moviegoer, chances are you have already heard the argument; that originality is dead in Hollywood. We live in an era where even Ghostbusters is no longer sacred. Where you wouldn't be surprised if one of the large studios announced a remake of the Godfather or Citizen Kane. Those remakes might capture some audience members, but those films almost certainly don't capture the audience's hearts. They certainly don't capture the praise critics. They certainly don't take home any major awards.
 
 That all changes with A Star is Born.
 
 Change, however, is a key word when it comes to remakes. (Or remakes of remakes of remakes...) In order to make the venture worthwhile, the film makers not only have to stay close to the ideas of original film, but they have to have a reason to retell the story. It's a delicate balance. Every version of a Star is Born follows a broken celebrity, in the Winter of his career, damaged by years of drinking who is suddenly reborn when meeting a young ingénue. The two fall in love, but while their relationship develops, their entertainment careers go in different directions.
 
 Director and Co-Star Bradley Cooper's film seemingly borrows more from the Streisand/Kristofferson iteration of A Star is Born (the last time this story was retold), as the dynamic between the two lovers hinges on the music industry. When Streisand and Kristofferson remade the film, (for the fourth time at that point) in 1976, they broke one of the aforementioned expectations, as they both took home Golden Globes for their performances. Perhaps Cooper was more inspired by performance, rather than aesthetic, as the acting is one aspect out of many that shines in Cooper's version. The characters of Jackson Maine (Cooper) and Ally (Lady Gaga) drive the entire story in what is essentially a film with only half a dozen notable characters. Cooper and Lady Gaga have amazing chemistry, and from the moment you see the two on screen together for the first time you feel the connection.
 
 First time director, Cooper, deftly creates intimacy between Jackson and Ally, without which the story would certainly not be as successful. In stadiums housing thousands of fans, in small dressing rooms packed with screaming Drag Queens, in a loud dive bar, in the parking lot of an all-night-grocer, Cooper uses tight framing and sound impeccably to make it seem like they're the only two people in the world. You understand his charm, you see her vulnerability, and the two actors give side-by-side stellar performances.
 
 That isn't to take away anything from a small, but powerful supporting cast. There were some brilliant and surprising moments from Dave Chappelle as Noodles, an old friend of Jackson's who reiterates how much Ally has revitalized Jackson. The largest surprise came from Andrew Dice Clay as Lorenzo, Ally's father. Both Clay and Chappelle brought great moments of love and humanity in their criminally small interactions with the two main characters. Sam Elliot also surprised me in his role as Bobby, Jackson's (much) older brother. They explain the age discrepancy, but the rest is self-explanatory as he and Cooper truly are brothers on screen, with all the frustration, fights and familiarity that goes with that relationship. Elliot in his similarly small time on screen, often showed the softer side of his craft, hiding touching instants of sadness when it comes to his difficult relationship with his brother, concealed only slightly by his iconic mustache.
 
 It begs the question, does Cooper deserve all the praise as director, or does the cast? What I can glean from the film is Cooper definitely had his cast on the same page, as regardless of screen time, these actors made you care about their characters. The audience is invested. There are countless pivotal story beats where these characters may do something frustrating or angering. Instead of merely recognizing that these are hurdles to push the story further, I found myself almost vocally upset, akin to yelling at a character in a horror film to not go in the room where the killer is hiding. This film makes you want the protagonists to succeed, even when dealing with topical subplots regarding celebrity, regret, depression and substance abuse.
 
 And that's because you're along for the ride the entire time. You're a part of this love story. The film sucks you in from the beginning with the roar of a raucous concert audience, the hard beat of the drums on Jackson's stage, and his hypnotic swagger as he plays for thousands. If you were one of the millions of people who have seen the trailer for this film, I'm sure you know exactly what I'm talking about (kudos to the promotional department of this film, as that, is an extremely engaging and powerful trailer) but it stems from an extremely engaging and powerful film. The music, much like it did with the trailer gets inside you, not just inside your head where you find yourself humming a gentle country lilt sang by Cooper, it gets inside your heart and soul and rattles around. It repeats over and over until you're the one who doesn't want to let go. While Cooper should be commended for taking his craft seriously and improving his singing, this is where Lady Gaga shines, to no one's surprise.
 
 Ally is a perfect role for her. The performer has spoken about how vulnerable and ugly she felt in some scenes when shooting this film, but it made her so real on screen. Ally's career, much like the first half of the film, blasts off, and all you can do is hold on until you realize the songstress is belting a powerful ballad. You wonder, much like her character ""how did we get here"" but at that point, you're just happy to be along for the ride. It is a testament to Lady Gaga's ability, because being such an iconic figure, if it weren't for her conveyance of sincerity and humility, the character's journey would seem forced and unfulfilling. Because of Gaga's performance, however, you relish the moment Ally can finally embrace who she is and bravely belt out her songs with no inhibition. In a film with so many moments that grab you, the music is undeniably one of my favorite aspects. I can't wait for this film to get a wider release so the studio can also make the soundtrack available.
 
 If and when Award season comes, and A Star is Born is undeniably a forerunner for several major awards, I think Cooper should be commended simply because as director, he brought everything together. The songwriters, the actors, the cinematography, the sound design was superbly balanced to create the best possible version of this story making it, the brightest star for both critics and audiences.",9,pos
A Star is Born,"I did not want to watch this movie but took my wife to see it, because we both saw the one with Kris Kristofferson and Barbra Streisand, growing up. The crowd was a lot older than we were(we are almost 50) it was the biggest screen they had at our theater and seats a lot but it was maybe half full on Sunday afternoon. Not one dry eye in the place, it had a great tempo and didn't drag on or have any lulls in the story. We were both very pleased and are still engaging in conversations about the movie. It's my opinion to highly recommend to everyone go out and watch a great movie and a heartfelt movie that redefines love in this time and age we live in. That is my two cents, hope you enjoy as much as we have.",10,pos
Annihilation,"A meteorite strikes a lighthouse on the southeastern US coast and a mysterious 'Shimmer Zone' begins expanding from the impact point. The government keeps the event a secret and sends military units into the area. None of these personnel ever return, until the special forces husband of an ex-Army biologist called Lena suddenly shows up at their home. He's been missing for a year, remembers little of it, and immediately falls seriously ill. After this 15 minute prologue, Lena joins the next all-female expedition. The five women enter the zone, witness disturbing events and discover their communications devices no longer work. Rather than return to base and report these discoveries, they push on, making more foolish decisions as they proceed, until they resemble dim-witted teenagers in a slasher pic.
 
 Many sci-fi fans will recall JG Ballard conceived the original idea of an expanding zone where the laws of nature are transformed. By comparison to Ballard's 1966 novel 'The Crystal World', Garland's film of Jeff VanderMeer's copycat story is a conventional adventure movie spiced up with some sci-fi mumbo-jumbo. The military and scientific background becomes increasingly unbelievable as routine action sequences and CGI pyrotechnics overwhelm all the grown-up possibilities. 'Annihilation' ends up as inconsequential as Garland's 2007 'Sunshine' screenplay - and after 'Ex Machina', it's a major disappointment.",1,neg
Annihilation,"First of all this movie was not confusing, nor was it thought provoking. I get the idea of morphology, the shimmer refracting dna and the idea of one's own self destruction to becoming something new/ different. Those ideas were cool, but that's not what I have issues with. It's hard to take this movie as a deep, intellectual movie when common sense and basic logic is all tossed aside. Here is a list of things that I couldn't get passed in this movies:
 
 1. The team. Only one person had military training yet they were all given automatic weapons? 
 
 2. The biologist doesn't wear gloves when swabbing specimens? Who cares about contamination right?
 
 3. Everyone they sent into the shimmer has died and never made it back except one guy who is dying and coughing up blood. They kept him in a quarantined area and wore hazmat suits around him, but they go into the shimmer unprotected?
 
 4.This is a military/government operation, where's the military? It would have made more sense to send a team of scientist in with a team of trained military professionals. I get the girl power in this, but you could have sent them in with an all female unit.
 
 5. You kill a giant, vicious mutated gator and decided the best mode of transportation is to get in the water on tiny row boats? People! We are talking about a gator that is on steroids and has severe roid rage! This place is a swamp! 
 
 6.Their idea of standing on guard at night is to have one person on the ground 200 ft away from everyone in a small guard shack that has no walls where something can grab you from all angles while everyone else was high up in a lookout tower. There was a balcony on the tower that had one set of stairs that went up it. That is where you put your guard. 
 
 7.Who the hell packed their gear? No night vision goggles? No secondary side arms? No masks in case of deadly spores?
 
 Now. I am not saying do not watch this movie. You can do whatever you want. It's your choice. You might like it and not be bothered by the things I listed.What I am saying is that I cannot agree with those that are praising this as the best sci-fi movie or that it's the most intelligent one. For every intellectually stimulating subject that's touched in the movie is quickly overshadowed by some boneheaded decisions and actions.
 
 There are (in my opinion) better Sci-fi movies out there. Arrival, Blade Runner 1 and 2, Ex Machina, Any Star Trek movie, District 9, 2001, Alien and Aliens, Predator, The Maze Runner, The Matrix, Close Encounters, The Edge of Tomorrow, Minority Report, Interstellar, Dune...
 
 You want thought provoking movies? Check out these: Arrival, Memento, Fight Club, The Sixth Sense, The Number 23, The Count of Monte Cristo...",2,neg
Annihilation,"From the trailer I was expecting an action-packed sci-fi thriller... but I was very misled. What I watched was nearly 2 hours of mind-numbing tedious garbage. Nothing is really ever explained, everyone talks very slowly (I am assuming they are trying to create suspense, but it is very unnatural) - the whole setup just seems very odd and illogical for a group of women scientists preparing to venture into someplace treacherous and unknown.
 
 I will say the special effects and CGI were very good - so it did have spectacular visuals - the only reason I am giving 3 stars. Everything else was either mediocre or awful - and too often illogical.
 
 Spoilers ahead...
 
 Some of the stupid things that happen in the movie:
 
 Despite 3 years of study - sending in teams and drones - running tests at the perimeter - no one inside of a scientific (government?) facility has any information regarding what is going on inside of this bubble-like anomaly encapsulating an area of swamp and coastline - they call it inside ""The Shimmer.""
 
 A female psychologist plays the tough bad-ass character. Not the paramedic or former soldier - no the psychologist (you would assume a psychologist might be sensitive and sweet). And for some reason this psychologist has been making the decisions regarding who enters this anomaly (a.k.a. The Shimmer). I'm not even sure she is part of the government - which I assumed was in control of the facility because they capture Lena's escaped husband in the beginning third of the movie.
 
 A male soldier's insides have been completely mutated and swirling around like a worm, but somehow he is still alive. Upon seeing this on video, a former paramedic exclaims it was a lighting trick and to not believe what they just saw (Aside: pretty much all of us in the theater burst out laughing).
 
 A former soldier is using night-vision goggles to see out into the dark - but she's standing in the middle of a booth-type structure with the lights on - which obviously would disrupt the ability to use the night-vision goggles.
 
 Cells extracted and plated from Lena's blood are rapidly dividing and mutating, but somehow she is not extremely sick and dying?
 
 The ending is so exceptionally weird that I'm not sure a written description could even come close to accurate. It tries very hard to be artistic and deep / mind-bending, but instead comes off silly and trite.",3,neg
Annihilation,"After watching this film I read the reviews voted ""most helpful,"" which all were long lists of plot holes and logical inconsistencies. They are absolutely right. I didn't think about it while watching the film, but when it's pointed out, yeah, nothing in this movie makes much sense.
 
 But I still really liked it. It's creepy and atmospheric and more concerned with the psychology of people on a suicide mission than on the nuts and bolts of scientific investigation. It's often intense , usually beautiful, well acted, and had some really weird and mesmerizing moments. 
 
 I won't argue that you should forgive it for its plot holes, or that it has any deep meaning, or anything like that. In fact, it's probably easier to make a convincing argument against the movie than for it. I'm just saying, I really liked it.",8,pos
Annihilation,"ANNIHILATION': Four and a Half Stars (Out of Five)
 
 The new science fiction horror flick from writer/director Alex Garland (who also performed both duties on 2014's 'EX MACHINA'). It's about a biologist who volunteers to lead an expedition into a dangerous environmental zone, after her husband comes out of the zone seriously injured, and the sole survivor of his expedition. It's based on the novel, of the same name, by Jeff VanderMeer. The film stars Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny and Oscar Isaac. It's gotten nearly unanimous positive reviews from critics, but it also performed really poorly at a test screening (which prompted a Netflix release overseas, instead of a theatrical one). I think the film is a very dark and bizarrely beautiful sci-fi masterpiece, and I can also see why a lot of people won't like it. 
 
 A year has passed since a team of soldiers entered an environmental disaster zone, and never returned. One soldier, named Kane (Isaac), suddenly reappears, much to the desperate relief of his biologist wife Lena (Portman), but he doesn't remember where he's been or how he got home. Then he has a sudden medical emergency, and is rushed to a hospital. In an attempt to help him, Lena decides to join a team of all female scientists, on an expedition back into the environmental zone. Things of course don't go as planned.
 
 The movie is very hauntingly beautiful, and it's especially highlighted by an awesomely haunting score, and some breathtaking visuals. The story is interesting, but it's definitely slow-paced, and the climax is much more of an intellectual payoff than a spectacular action scene (which many viewers might be hoping for). So I can definitely see why some people would hate this film, but I loved it. It's one I definitely won't forget anytime soon too, and it's great to see Natalie Portman (my old favorite actress) back in top form!",9,pos
Annihilation,"I don't review films, but I felt I had to counter the ""one star"" ratings from people who evidently didn't ""get"" this modern sci-fi masterpiece. I have to say I'm baffled by the extremely low reviews from some people, especially those who claim they went to sleep during the movie (is it fair to give it one star if you didn't see all of it?), or those who claim they are doing it to counter the ""fake"" ten star reviews. 
 
 I am giving this a ten because this movie single-handedly restored my faith in cinema as capable of giving me an ""experience"" in the theater. This is not a perfect film. That's not why I gave it a ten. I gave it a ten because of its vision and its impact. I'd say it's a cross between Alien, Arrival, Monsters, and 2001. If you don't like films that create an environment and put you in it to experience something, you probably won't like this. It's not a straight linear sci-fi film where you will have all your questions answered. Instead, it will make you think about what life and death is, about what ties us together, and it will give you a few scares along the way, and show you things you have never seen in other films. It will also convey how important the soundtrack can be in a film.
 
 It's tragic that other countries didn't get a chance to see this in the theater. For anyone watching this overseas on Netflix, I recommend you watch on the largest television you can find with the best sound system you can get, and crank it. If you have to bribe your friend with the 70"" television and Atmos sound system, do it. It's worth it to experience this film to the fullest. I wish I could see it for the first time again in the theater.
 
 If you've read the book, Garland says this was created as a sort of ""dream"" of the book, and it's only roughly based on that work. If you have read the book first, you need to reset your expectations going in.
 
 Again, this is not a ""paid"" review, it's not a ""fake"" review. I experienced what I can only describe as a near-religious experience in the theater watching this film, and a repeated view at home brought all those feelings back. It's a tremendous work, and I can't wait to see what Garland does next.",10,pos
Roma,"Every now and then a movie comes along that reviewers who want to appear sophisticated and ""in the know"" feel compelled to heap all kinds of praise upon. This is one of those movies. Boring, slow, tedious, and lame don't begin to describe it. Hate is a strong word, but it is the only appropriate one to describe my feeling towards this waste of film. I honestly don't see how any real human being could like or enjoy this movie, and I suspect that very few actually did, despite their phony reviews.",1,neg
Roma,"You will lost 2 hours of your life watching it, even when the picture is really beautiful.
 
 No drama, no storyline, no meaning, and some of the events in time are wrong.
 
 The only part more or less worth watching is aroung the minute 90 and it last like 5 min.",2,neg
Roma,"iggest problem for me was almost a complete lack of three dimensional characters. I guess the main woman the film follows around was the main protagonist, but I felt like I was watching paint dry. There was an emotional void in the performances and the film's basic lack of any sort of story or direction. Lots of dramatic scenes came off rather silly, generating more chuckles than any sort of real feelings.
 
 I gave it 3 out of 10, giving it one point for cinematography, one point for it being a finished film, and one point just because people seemed to like it. I have to wonder have A. Cuaron was thinking when he shot this screenplay (if there was an actual screenplay - maybe it was improv?).",3,neg
Roma,"Before I even start my review, I must say that despite how good this film may be, Roma may be one of the most overrated films of all time. It was so ridiculously overhyped that I think it affected my experience just a smidge. I mean, come on people, I did not start to levitate after the credits rolled. I would almost call this the Infinity War or the Dark Knight of overrated foreign films.
 
 With all of that being said (lol I don't mean to trash the film, just the people who are overhyping it), I sincerely enjoyed Roma. With such pristine cinematography, editing, and long takes, I couldn't believe how Alfonso Cuaron dedicated so much time and effort for his very simplistic story. The story follows a domestic worker who works as a maid for a mother of four children, where she deals with the struggles of the job and her own personal troubles, amidst a troubled period in Mexico during the 1970s. Despite the simplistic story, I was incredibly moved by the main actor and all of the supporting cast, who most have surprisingly only starred in this film.
 
 There were several scenes in this film that deeply moved me (in positive and negative ways); one involving a pregnancy and one during a trip to a beach, in particular. Even when the film is not moving you, there are tons of moments that are full of laughter, especially a couple scenes involving narrow spaces. From laughter to emotion to even really uncomfortable weird scenes, Cuaron does an extremely great job at conveying all types of feelings for the viewer.
 
 The two pinnacle components of Roma that really caught my attention were the long-takes and background characters. The long-takes were extremely well done, when they were not done in an attempt to show how many long takes the director can fit into one film. There are so many scenes in this film that are all filmed in one-take, and whenever Cuaron pulls it off in the right way, it really conveys many amazing feelings. The one on the beach is unforgettable. Even the long take during the opening credits is spectacular. Many of the takes are extraordinary, but it is worth noting that some are just done just because, and really have no merit. Like, do I need to see our main character walk up the stairs for two minutes? No, I do not.
 
 The other thing that really caught my attention were the background characters because every single individual person in the background had their own story. A scene in a theater was done so well, that you could look at any person or couple in the audience, and they would all be doing something so unique and different. Any scene throughout the film that had background characters were all doing something special, and it makes me feel like Cuaron gave direction to every single individual. It felt like I was watching real people, and it was amazing.
 
 As for complaints, the film does go a little style over substance in some cases. Like I said, the story is simplistic, well-done, and I did care a lot, but the long takes do become a little over-indulgent. I just wish that instead of the director having the need to praise his own skills, that we would just get back to the story at hand. Also, not really a complaint on the film or anything, but people, this is not the best movie ever made.
 
 Regardless, the film is a very high eight out of ten. I really do love Roma.
 
 PS: It is worth noting that The Chambermaid was trying to pull off a lot of what this film was trying to do, but the latter exceeded in every possible way.",8,pos
